,t_idx,u_abs_eff_FLORIS,Ct_FLORIS,AI_FLORIS,TI_FLORIS,Power_FLORIS,power_OFF,time
42,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,84.0
43,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,84.0
44,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,88.0
45,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,88.0
46,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,92.0
47,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,92.0
48,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,96.0
49,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,96.0
50,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,100.0
51,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,100.0
52,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,104.0
53,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,104.0
